,Title,Published_date,Views,Likes,Comments,Month
189,5 Data Science Resolutions for 2020,2019-12-27,473,25,12,Dec
190,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,14945,526,89,Dec
191,Collision Course: Sports Betting + Data Science,2019-12-20,14937,445,26,Dec
192,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,99973,2926,209,Dec
193,5 Sports Analytics Books to Get You Started,2019-12-13,9619,358,57,Dec
194,Math Needed for Mastering Data Science,2019-12-09,54666,2803,225,Dec
195,The 5 Stages of Data Science Adoption,2019-12-06,1259,67,17,Dec
196,How YOU Can Land a Sports Analytics Job,2019-12-02,63435,2844,225,Dec
197,Data Science Fundamentals: Linear Regression,2019-11-29,5980,164,41,Nov
198,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,939,46,12,Nov
199,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5420,249,26,Nov
200,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,44993,1718,80,Nov
201,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5846,136,31,Nov
202,Why Selling Is An Important Data Science Skill,2019-11-04,1573,76,13,Nov
203,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2653,70,18,Oct
204,Why is Balance Important in Data Science?,2019-10-16,684,32,13,Oct
205,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11437,577,54,Sep
206,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3416,107,31,Sep
207,6 Habits of Successful Data Scientists,2019-09-13,2087,91,17,Sep
208,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,3816,92,9,Sep
209,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,517,24,29,Aug
210,Is Data Science Right For You?,2019-08-18,48887,1137,109,Aug
211,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,13785,378,53,Aug
212,How To Get Data Science Experience (Without a Job),2019-08-08,28395,1348,75,Aug
213,Take Your Data Science Projects From Good to Great,2019-08-05,1564,107,11,Aug
214,The Projects You Should Do To Get A Data Science Job,2019-07-30,145234,5588,252,Jul
215,What Does a Data Scientist Actually Do?,2019-07-19,33984,1153,80,Jul
216,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,12295,339,42,Jul
217,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,16796,502,61,Jul
218,Data Science: Pros and Cons,2019-06-30,4964,210,18,Jun
219,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,23245,1137,89,Jun
220,My Top 5 Data Science Internship Tips,2019-06-15,11146,466,19,Jun
221,Golf STATS: Strokes Gained Explained,2019-06-07,6430,134,28,Jun
222,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,599,44,5,May
223,What I Learned From My Three Degrees,2019-05-17,1219,60,12,May
224,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25364,1057,67,May
225,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1194,40,2,May
226,Should You Learn R for Data Science?,2019-04-25,19223,530,69,Apr
227,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,45681,842,338,Apr
228,Work From Home Data Scientist: Day in the Life,2019-04-12,27894,759,103,Apr
229,Where to Look for Data Science Jobs,2019-03-29,2960,120,9,Mar
230,Data Science: Startup vs. Large Corporation,2019-03-21,2036,72,4,Mar
231,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,5839,165,25,Mar
232,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4045,176,15,Mar
233,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,770,32,12,Mar
234,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1366,35,8,Mar
235,Where YOU Should Start With Data Science Projects,2019-02-19,14743,309,17,Feb
236,Watch This Before Applying to Data Science Jobs,2019-02-04,1459,63,13,Feb
237,My Top 5 Data Science Resources for 2019,2019-01-05,3635,119,17,Jan
238,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,809,36,6,Dec
239,The Best Way to Predict NBA Minutes Played,2018-12-11,3881,99,14,Dec
240,Demystifying Data Science Roles,2018-11-30,1108,52,5,Nov
241,How to Simulate NBA Games in Python,2018-11-19,16589,375,54,Nov
242,Should You Get A Masters in Data Science?,2018-11-14,20232,303,141,Nov
243,How I Became A Data Scientist From a Business Background,2018-11-12,6256,191,23,Nov
244,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8220,188,17,Jul
245,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,18355,284,41,Nov
